word,definition,pos,target_code,trans_word,alt_def,wiki_link,example
때,A certain moment or part of time.,명사,74123,time,occasion; time,https://en.wiktionary.org/wiki/때,"
			경기 중 얼굴에 가격을 당해 부상을 입을 수도 있기 때문이지.
		"
거,"A bound noun used to refer to a certain thing or phenomenon, or fact.",의존 명사,62331,thing,thing,https://en.wiktionary.org/wiki/거,"
			가가호호 방문하거나 전화해서 투표장에 나오라고 설득해야 할 것 같아요.
		"
보다,To perceive with eyes the existence or appearance of an object.,동사,61190,see; look at; notice,to try out (+auxiliary),https://en.wiktionary.org/wiki/보다,"
			가게를 보다.
		"
같다,Not different from each other.,형용사,62076,same; identical; equal,To be similar,https://en.wiktionary.org/wiki/같다,"
			그 상인은 올 겨울에는 배추 가격 인상으로 김치 가격도 상승할 것 같다고 했다.
		"
주다,To give an item to someone else so he/she can have or use it.,동사,82136,give,"To give, to do for a person",https://en.wiktionary.org/wiki/주다,"
			가격표를 보여 주다.
		"
대하다,To be face to face.,동사,86300,face; confront,"Face, confront",https://en.wiktionary.org/wiki/대하다,"
			가격 인상에 반대하다.
		"
가다,To move from one place to another place.,동사,27500,go; travel,To go,https://en.wiktionary.org/wiki/가다,"
			가가호호 찾아가다.
		"
년,A bound noun that serves as a unit for counting the number of years.,의존 명사,26823,nyeon,Year,https://en.wiktionary.org/wiki/년,"
			풍년가
		"
한,One.,관형사,73278,one,"One, a single",https://en.wiktionary.org/wiki/한,"
			민준이는 공부를 잘해서 한 번도 가를 받은 적이 없다.
		"
말,Human voice through which thoughts or feelings are expressed and conveyed.,명사,27260,speech; words,"words,speaking",https://en.wiktionary.org/wiki/말,"
			말을 잘하는 사람은 상황에 맞게 말을 가감을 해서 말을 한다.
		"
일,An activity that uses one's body or mind in order to achieve something; the object of such an activity.,명사,91895,work; labor,Work,https://en.wiktionary.org/wiki/일,"
			민준이는 금방이라도 일어날 듯이 의자 가에 엉덩이만 살짝 걸치고 앉았다.
		"
이,A part in the human or animal mouth that is used to bite something or chew food.,명사,69529,tooth,"A person, This",https://en.wiktionary.org/wiki/이,"
			이가
		"
때문,A cause or reason for a certain incident.,의존 명사,64555,because; because of,Because of,https://en.wiktionary.org/wiki/때문,"
			경기 중 얼굴에 가격을 당해 부상을 입을 수도 있기 때문이지.
		"
말하다,To verbally present a fact or one's thoughts or feelings.,동사,62103,say; tell; speak; talk,Speak,https://en.wiktionary.org/wiki/말하다,"
			가리켜 말하다.
		"
위하다,To try to benefit or help someone or something.,동사,29736,do in favor of; do for the benefit of,To do for the sake of,https://en.wiktionary.org/wiki/위하다,"
			고학생을 위하다.
		"
그러나,A word used to indicate that a statement is the opposite of the following statement.,부사,62263,but; however,However or but still,https://en.wiktionary.org/wiki/그러나,"
			글쎄요. 그러나 신제품 연구의 투자에도 신경을 써야 하지 않을까요.
		"
오다,For something to move from another place to here.,동사,69514,come,To come,https://en.wiktionary.org/wiki/오다,"
			가가 나오다.
		"
알다,"To have information or knowledge about an object or situation through education, experience, thoughts, etc.",동사,89445,know; understand,To know,https://en.wiktionary.org/wiki/알다,"
			가족력을 알다.
		"
씨,A bound noun used to address or call out to a certain person deferentially.,의존 명사,58145,Mr.; Ms.; Mrs.,~ Mr.,https://en.wiktionary.org/wiki/씨,"
			날씨가 더워서 도대체가 입맛이 없다.
		"
그렇다,"A state, appearance, characteristic, etc. being as such.",형용사,61178,so; as such; like that,That is right or yes.,https://en.wiktionary.org/wiki/그렇다,"
			그렇다면 간단명료하게 요약해서 다시 보고서를 올리겠습니다.
		"
크다,For an animal or plant to grow.,동사,66584,grow,"To be big, large",https://en.wiktionary.org/wiki/크다,"
			가능성이 크다.
		"
또,In the manner of happening or behaving again.,부사,51887,once more,"also, too",https://en.wiktionary.org/wiki/또,"
			다리가 다 지어졌는데 또 공사를 하네?
		"
일,An activity that uses one's body or mind in order to achieve something; the object of such an activity.,명사,91895,work; labor,day,https://en.wiktionary.org/wiki/일,"
			민준이는 금방이라도 일어날 듯이 의자 가에 엉덩이만 살짝 걸치고 앉았다.
		"
사회,"A group formed by people who belong to a similar class, or who hold similar occupations, positions, etc. ",명사,62378,society,"culture,society",https://en.wiktionary.org/wiki/사회,"
			그 드라마는 한국 사회의 현실을 가감 없이 드러냈다는 점에서 주목을 받았다.
		"
많다,"A number, amount, etc., exceeding a certain standard.",형용사,69295,plentiful; many; a lot of,"many, much",https://en.wiktionary.org/wiki/많다,"
			집 근처의 야채 가게는 야채가 좋고 값이 싸서 손님이 매우 많다.
		"
안,The side that faces the center from the circumference of an object or space; such a part.,명사,74890,inside,~ not ~ + VERB,https://en.wiktionary.org/wiki/안,"
			이 안건이 통과되는 것에 반대하는 사람이 적어 표가 가에 몰릴 것으로 예상된다.
		"
좋다,Excellent and satisfactory in features and content.,형용사,79033,good; great; excellent,To be good,https://en.wiktionary.org/wiki/좋다,"
			가공성이 좋다.
		"
더,In a continuous addition.,부사,26829,more,More,https://en.wiktionary.org/wiki/더,"
			아니요. 좀 더 신중하게 생각할 시간이 필요합니다.
		"
받다,To take something that someone else has given or sent.,동사,66636,receive; get,Receive,https://en.wiktionary.org/wiki/받다,"
			가를 받다.
		"
그것,"A pronoun used to indicate something close to the listener, or something the listener has in mind.",대명사,31953,,That thing,https://en.wiktionary.org/wiki/그것,"
			나는 새로 담근 김치가 입에 감겨서 계속 그것만 먹는다.
		"
집,"A structure built by a human or animal to serve as protection from cold, heat, etc., and as a place to live in.",명사,71358,house,House,https://en.wiktionary.org/wiki/집,"
			수집가
		"
나오다,To come out.,동사,62233,come out; get out,Come out,https://en.wiktionary.org/wiki/나오다,"
			가가 나오다.
		"
따르다,To go with someone behind him/her on the same track.,동사,64547,follow,follow,https://en.wiktionary.org/wiki/따르다,"
			가득 따르다.
		"
그리고,A word used to connect the preceding statement with the following one.,부사,62240,and,And or and then,https://en.wiktionary.org/wiki/그리고,"
			이 책은 십 년 동안 서로를 기다린 연인의 감동적 사랑을 아름답게 그리고 있다.
		"
문제,A question that demands an answer.,명사,66246,problem; question,"question,problem",https://en.wiktionary.org/wiki/문제,"
			수학 선생님께서 숙제를 내주셨는데 가감승제 문제가 삼십 개나 되었다.
		"
그런,"A state, appearance, characteristic, etc. being as such.",관형사,60341,like that,Such a,https://en.wiktionary.org/wiki/그런,"
			가죽 가공이 잘못돼서 그런 것 같습니다. 바꿔 드리겠습니다.
		"
살다,To be alive.,동사,69579,live; be alive,To live,https://en.wiktionary.org/wiki/살다,"
			가까이 살다.
		"
저,The humble form used by the speaker to refer to himself/herself for the purpose of showing humility to the listener.,대명사,44506,I; me,That,https://en.wiktionary.org/wiki/저,"
			저기 운동장 가에 세워 뒀어요.
		"
못하다,To fail to make a certain work reach a certain level or to not own the ability to do so.,동사,91168,be incapable; fail to,Be impossible,https://en.wiktionary.org/wiki/못하다,"
			김 대리는 시키는 일은 잘 해내지만 어쩐지 믿음직스럽지가 못하다.
		"
생각하다,To judge or perceive something by using one's brain.,동사,66376,think,To think,https://en.wiktionary.org/wiki/생각하다,"
			가만히 생각하다.
		"
모르다,"To have no knowledge or understanding of a person, object or fact.",동사,29712,not know,To not know,https://en.wiktionary.org/wiki/모르다,"
			가맣게 모르다.
		"
속,The inside part of an object that is covered with a coat or skin.,명사,71278,inside stuff; interior; flesh,The inside,https://en.wiktionary.org/wiki/속,"
			지수는 어제 프린터를 구입했는데 오늘 가격 인하 행사를 해서 속상했다.
		"
만들다,"To create something that did not exist, using one's power or skill.",동사,60317,make; create; produce; manufacture,To make,https://en.wiktionary.org/wiki/만들다,"
			가곡집을 만들다.
		"
데,A bound noun meaning a place or location.,의존 명사,47455,de,"Place, point, instance",https://en.wiktionary.org/wiki/데,"
			열다섯 살인데 이 영화를 볼 수 있나요?
		"
두,Two,관형사,71458,two,two,https://en.wiktionary.org/wiki/두,"
			아니, 양은 두 개 있지만 가는 없어.
		"
앞,The direction or place one is facing.,명사,88648,front,"In front of, before",https://en.wiktionary.org/wiki/앞,"
			가게 앞.
		"
경우,A proper principle that one is expected to follow. ,명사,61524,reason; principle,A case or an instance,https://en.wiktionary.org/wiki/경우,"
			이 가게의 경우, 가격표를 뗀 옷은 다른 옷으로 교환해 주지 않는다.
		"
중,A bound noun used to refer to something out of many.,의존 명사,79404,,"The center, the middle",https://en.wiktionary.org/wiki/중,"
			공원의 중앙에는 잔디밭이 있고 가에는 울타리가 둘러쳐져 있었다.
		"
어떤,"A word used when asking what characteristic, content, personality, quality, shape, etc., a person or object has.",관형사,17185,what,"What kind of, what sort of",https://en.wiktionary.org/wiki/어떤,"
			너는 어떤 음악을 주로 듣니?
		"
잘,Rightly and virtuously.,부사,58939,well,Well,https://en.wiktionary.org/wiki/잘,"
			민준이는 공부를 잘해서 한 번도 가를 받은 적이 없다.
		"
그녀,A pronoun used to indicate the previously-mentioned woman.,대명사,36246,she; her,She,https://en.wiktionary.org/wiki/그녀,"
			그녀와 가까워지다.
		"
먹다,To put food into one's mouth and take it in one's stomach.,동사,58272,eat; have; consume; take,"Eat, chow down on",https://en.wiktionary.org/wiki/먹다,"
			가끔 먹다.
		"
오다,For something to move from another place to here.,동사,69514,come,To come,https://en.wiktionary.org/wiki/오다,"
			가가 나오다.
		"
자신,The person himself/herself.,명사,62096,self; oneself,"one’s own self, one\’s own body",https://en.wiktionary.org/wiki/자신,"
			선생님은 지금처럼만 공부하면 명문대 입학이 가능하다고 했지만 지수는 자신이 없었다.
		"
문화,"Material and mental activities that a social community creates, learns, shares, and delivers to realize a certain purpose or ideal of life; a term that includes food, clothing, shelter, language, customs, religion, learning, arts, institutions, etc.",명사,71460,culture,culture,https://en.wiktionary.org/wiki/문화,"
			삼촌은 한국 전통문화를 소개해 주는 행사에서 가마를 메고 외국인들을 태웠다.
		"
원,A Korean monetary unit.,의존 명사,27771,won,"A unit of south korean money, KRW",https://en.wiktionary.org/wiki/원,"
			공원의 중앙에는 잔디밭이 있고 가에는 울타리가 둘러쳐져 있었다.
		"
생각,The act of a human being using his/her brains to judge or perceive something.,명사,58162,thought,Thought,https://en.wiktionary.org/wiki/생각,"
			아니요. 좀 더 신중하게 생각할 시간이 필요합니다.
		"
어떻다,"Being such in one's thoughts, feelings, state, situation, etc.",형용사,70482,such,"how,what.. do you think of",https://en.wiktionary.org/wiki/어떻다,"
			술 마시고 노래 좀 부른 거 갖고 뭐가 어떻다고 이래?
		"
명,A bound noun that serves as a unit for counting the number of persons.,의존 명사,70812,person,Person counter,https://en.wiktionary.org/wiki/명,"
			작명가
		"
통하다,To flow well without any blockage.,동사,58169,flow; pass; circulate,"Run, lead; flow; go through",https://en.wiktionary.org/wiki/통하다,"
			가미를 통하다.
		"
그러다,To do what occurred or was stated previously.,동사,37062,do so,"and so, and then, well",https://en.wiktionary.org/wiki/그러다,"
			네, 그러다 보니 출산 감소율이 높은 편이에요.
		"
소리,Sound wave heard by the ear that is created when an object vibrates.,명사,62379,sound; noise,"A sound,noise",https://en.wiktionary.org/wiki/소리,"
			모든 의원들이 목소리를 높여 안건의 가결에 반대하였다.
		"
다시,Repeatedly with the same words or behavior.,부사,62539,again,Again,https://en.wiktionary.org/wiki/다시,"
			그럼 회사 가까이 와서 다시 연락 줘. 그때 내가 나갈게.
		"
다른,Other than the one concerned.,관형사,64530,different; other,Different,https://en.wiktionary.org/wiki/다른,"
			이 가게의 경우, 가격표를 뗀 옷은 다른 옷으로 교환해 주지 않는다.
		"
이런,"A state, shape, nature, etc., being like this. ",관형사,17869,this; such; of this kind,"Such, like this",https://en.wiktionary.org/wiki/이런,"
			가다가 이런 날도 있어야지.
		"
여자,A person who was born a female.,명사,27369,woman,"woman,female",https://en.wiktionary.org/wiki/여자,"
			친구는 나와 여자 친구를 화해하게 해 주어 사랑의 가교 역할을 하였다.
		"
개,"An animal raised as a pet or hunting companion, because it has a good sense of hearing and smell, is intelligent, and makes a good companion to humans.",명사,64115,dog,Unit or piece,https://en.wiktionary.org/wiki/개,"
			아니, 양은 두 개 있지만 가는 없어.
		"
정도,A quantity or level that represents the nature or value of something in terms of the degree of goodness or intensity.,명사,70876,degree,"grade,degree",https://en.wiktionary.org/wiki/정도,"
			정확히는 모르지만 이천 가구 정도가 사는 것 같아요.
		"
뒤,The direction that is opposite of the one that someone or something is facing.,명사,67477,back,"back, latter, rear",https://en.wiktionary.org/wiki/뒤,"
			선생님 목소리는 너무 가늘어서 교실 뒤에서는 잘 들리지 않는다.
		"
듣다,To sense a sound with ears.,동사,74104,hear,"to listen, to hear",https://en.wiktionary.org/wiki/듣다,"
			가곡을 듣다.
		"
다,Everything without anything left out or missing. ,명사,58175,all; everything,"All, everything",https://en.wiktionary.org/wiki/다,"
			가에 앉다.
		"
좀,In a small quantity or to a small degree.,부사,75798,a little,A little,https://en.wiktionary.org/wiki/좀,"
			아니요. 좀 더 신중하게 생각할 시간이 필요합니다.
		"
들다,To go or come inside from outside.,동사,71686,come in; get in; enter,to enter/go into ; stay at hotel or inn,https://en.wiktionary.org/wiki/들다,"
			가곡집을 만들다.
		"
싶다,An auxiliary adjective used to indicate that the speaker has an intention or desire to do what the preceding statement describes.,보조 형용사,62657,sipda,"want,hope",https://en.wiktionary.org/wiki/싶다,"
			이 영화에 나오는 마을 한번 가 보고 싶다.
		"
보이다,To come to know the presence or outward appearance of an object by looking at it.,동사,62091,be viewed; be visible; be in sight,"see,catch sight of",https://en.wiktionary.org/wiki/보이다,"
			가관으로 보이다.
		"
가지다,"To carry or keep something, or hold it in one's hands.",동사,65234,have; hold,To have or take or hold,https://en.wiktionary.org/wiki/가지다,"
			가변성을 가지다.
		"
함께,In the state of several people being all together.,부사,72465,together; along with,"Together, with",https://en.wiktionary.org/wiki/함께,"
			올림픽 개회식 때 남북한이 함께 입장을 한다며?
		"
아이,A young person.,명사,62843,child; kid,Child,https://en.wiktionary.org/wiki/아이,"
			선글라스를 낀 남자가 아까부터 아이를 쳐다본다.
		"
지나다,To get out of a period as time passes.,동사,82142,pass; elapse,"pass,elapse,go on",https://en.wiktionary.org/wiki/지나다,"
			가로를 지나다.
		"
많이,"In a state in which a number, amount, degree, etc., are larger than a certain standard. ",부사,66030,much; in large numbers; in large amounts,A lot,https://en.wiktionary.org/wiki/많이,"
			부끄러움을 많이 타던 옆집 아이가 가수가 될 줄은 아무도 몰랐다.
		"
시간,The amount of time from one point to another.,명사,62841,time,Time,https://en.wiktionary.org/wiki/시간,"
			아니요. 좀 더 신중하게 생각할 시간이 필요합니다.
		"
너,A pronoun used to indicate the listener when he/she is the same age or younger.,대명사,64390,,You,https://en.wiktionary.org/wiki/너,"
			너는 꿈이 뭐야?
		"
주다,To give an item to someone else so he/she can have or use it.,동사,82136,give,"To give, to do for a person",https://en.wiktionary.org/wiki/주다,"
			가격표를 보여 주다.
		"
인간,A social being that is capable of thinking and using language and tools.,명사,66582,human; human being,"A person, a human being",https://en.wiktionary.org/wiki/인간,"
			신화 속에 나오는 신들은 가공인물이지만 인간의 모습과 많이 닮았다.
		"
사실,An incident that actually happened or is in progress.,명사,71275,fact,"The truth, a fact",https://en.wiktionary.org/wiki/사실,"
			지금 한 이야기가 사실이야? 도저히 믿을 수가 없어.
		"
나다,To rise above the skin or ground.,동사,62210,grow; sprout,To be born,https://en.wiktionary.org/wiki/나다,"
			가계가 살아나다.
		"
이렇다,"(for a state, appearance, nature to be) Like this.",형용사,71157,so; like this,Like this,https://en.wiktionary.org/wiki/이렇다,"
			부장은 이렇다 할 결론도 없이 회의를 두 시간이나 끌었다.
		"
어머니,A word used to refer to or address the woman who has given birth to you; or what you call that person.,명사,74361,mother,Mom,https://en.wiktionary.org/wiki/어머니,"
			어머니는 싼 가격에 더 좋은 물건을 사기 위해 하루 종일 시장을 돌아다녔다.
		"
눈,The sensory organ on the face of a person or animal that can see an object when stimulated by the light.,명사,72704,eye,Eyes,https://en.wiktionary.org/wiki/눈,"
			가공할 만한 눈바람에 눈을 제대로 뜰 수조차 없었다.
		"
뭐,A pronoun used to refer to a fact or object that one does not know of.,대명사,84991,what,Huh? (2) something,https://en.wiktionary.org/wiki/뭐,"
			너는 꿈이 뭐야?
		"
점,"A small, round mark.",명사,62380,point; dot,"point, spot",https://en.wiktionary.org/wiki/점,"
			물가가 점점 오르고 있다.
		"
의하다,"To be founded on or be done due to a certain person, act, idea, etc.",동사,71122,be based on; be caused by; be grounded on,"To be due to, owing to",https://en.wiktionary.org/wiki/의하다,"
			가족과 상의하다.
		"
시대,A particular length of time that is historically divided according to certain characteristics.,명사,65119,period,"An age,period",https://en.wiktionary.org/wiki/시대,"
			조선 시대의 가객.
		"
다음,"Something that comes right after another in a sequence of time, place, turn, etc.",명사,64531,next; following,Next,https://en.wiktionary.org/wiki/다음,"
			국회가 군대 파병 안을 가결하여 다음 달에 우리 군대가 파병될 것이다.
		"
이러하다,"A state, shape, property, etc., being like this.",형용사,71154,such; of this kind; of this sort,"Be this way, be like follows",https://en.wiktionary.org/wiki/이러하다,"
			사실이 이러이러하다.
		"
누구,A pronoun used to indicate a person that one does not know.,대명사,62078,,Who,https://en.wiktionary.org/wiki/누구,"
			거센 폭풍우가 가라앉기 전에는 누구도 외출할 생각을 하지 못했다.
		"
전,A point in time in the past.,명사,17301,past,Before,https://en.wiktionary.org/wiki/전,"
			전술가
		"
곳,A certain spot or location.,명사,18661,place; spot; location,a,https://en.wiktionary.org/wiki/곳,"
			이곳은 예로부터 수산물 가공업이 발달한 곳이었어.
		"
여러,"A large number of.",관형사,17300,several; many; a lot of,"many,various",https://en.wiktionary.org/wiki/여러,"
			이번 반상회에는 사람들이 많이들 와야 여러 가지 사항을 결정할 텐데.
		"
안,The side that faces the center from the circumference of an object or space; such a part.,명사,74890,inside,~ not ~ + VERB,https://en.wiktionary.org/wiki/안,"
			이 안건이 통과되는 것에 반대하는 사람이 적어 표가 가에 몰릴 것으로 예상된다.
		"
하나,The very first number when counting numbers. ,수사,20279,one,One,https://en.wiktionary.org/wiki/하나,"
			지수는 작은 과자 하나를 사도 가계부에 꼭 적는다.
		"
세계,All the countries on the earth. ,명사,62444,world; universe,World,https://en.wiktionary.org/wiki/세계,"
			가공의 세계.
		"
버리다,To throw or pour out unnecessary things that one has had.,동사,65570,throw away; dump,"(following a verb) the verb\’s action is over, perhaps in a sad way",https://en.wiktionary.org/wiki/버리다,"
			가맣게 잊어버리다.
		"
위,A higher position than a certain standard; a higher position than the middle.,명사,71462,top; higher part,"The upper part, above",https://en.wiktionary.org/wiki/위,"
			형은 용돈을 벌기 위해 아침마다 가가호호를 돌며 신문을 돌렸다.
		"
운동,The act of moving one's body in order to train it or improve one's health.,명사,69521,exercise,"Motion, movement",https://en.wiktionary.org/wiki/운동,"
			저기 운동장 가에 세워 뒀어요.
		"
퍼센트,"A bound noun serving as a unit to express a ratio of something against the whole quantity, which is set as 100.",의존 명사,71319,percent,Percent,https://en.wiktionary.org/wiki/퍼센트,"
			우리는 공사 금액의 십 퍼센트를 먼저 받는 조건으로 가계약을 맺었다.
		"
학교,"An institution that educates students according to a specific purpose, curriculum, system, etc.",명사,73276,school,School,https://en.wiktionary.org/wiki/학교,"
			민준이가 용돈을 다 써서 학교에서 집까지 걸어갔다.
		"
자기,A pronoun used when the speaker refers to the person mentioned in the preceding statement.,대명사,57310,his; her; he; she,"Oneself, number one, numerouno, self",https://en.wiktionary.org/wiki/자기,"
			시계가 고장 났는지 갑자기 안 가네요.
		"
가장,In a way that is better than any other.,부사,26795,best,Most,https://en.wiktionary.org/wiki/가장,"
			여행 중에 어떤 경치가 가장 좋았어?
		"
대통령,"In a republican system, a person who represents a country and holds the  highest position in the administration; or such a position. ",명사,55485,president,The president,https://en.wiktionary.org/wiki/대통령,"
			대통령은 국회에서 가결된 법률안을 거부할 수 있다.
		"
가지,A bound noun used to indicate the type of a thing.,의존 명사,59921,kind; sort,One of the kind or a sort,https://en.wiktionary.org/wiki/가지,"
			이번 반상회에는 사람들이 많이들 와야 여러 가지 사항을 결정할 텐데.
		"
들다,To go or come inside from outside.,동사,71686,come in; get in; enter,"to hold, to carry; to give",https://en.wiktionary.org/wiki/들다,"
			가곡집을 만들다.
		"
시작하다,To constitute or cause to constitute the initial phase of an affair or action.,동사,66567,start; begin; initiate,"To start,begin",https://en.wiktionary.org/wiki/시작하다,"
			가동을 시작하다.
		"
바로,"In a straight line without being curved or crooked. ",부사,64744,straight; upright,"Right, correctly",https://en.wiktionary.org/wiki/바로,"
			새로 지은 건물에는 '바로 입주 가'라고 써 있는 현수막이 걸려 있었다.
		"
어느,Asking for particular something or someone within a number of things.,관형사,62822,which,"Some, a certain",https://en.wiktionary.org/wiki/어느,"
			어느덧 어머니의 머리에도 몇 가닥의 흰 머리가 보이기 시작했다.
		"
그래서,A word used when the preceding statement is the basis for the following statement.,부사,61169,so; therefore,And so accordingly,https://en.wiktionary.org/wiki/그래서,"
			그래서 저는 식구들의 휴대 전화 요금부터 줄여 보려고요.
		"
무엇,A word indicating an unknown fact or thing. ,대명사,17199,what,"That thing,whatever",https://en.wiktionary.org/wiki/무엇,"
			무엇보다 크고 무거워서 가동성이 떨어지는 게 흠이에요.
		"
정부,"A governing body composed of the three branches of legislature, judiciary and executive.",명사,31749,government,Government,https://en.wiktionary.org/wiki/정부,"
			정부가 복구를 위한 조직을 구성해서 가동에 들어갔대.
		"
모든,"All without exception or without anything or anyone left. ",관형사,70813,every	,Every one,https://en.wiktionary.org/wiki/모든,"
			모든 의원들이 목소리를 높여 안건의 가결에 반대하였다.
		"
번,A bound noun used to indicate the sequence of a task.,의존 명사,26846,beon,"Number, how many times",https://en.wiktionary.org/wiki/번,"
			민준이는 공부를 잘해서 한 번도 가를 받은 적이 없다.
		"
그거,A pronoun used to indicate something close to the listener or something the listener has in mind.,대명사,62251,,That thing,https://en.wiktionary.org/wiki/그거,"
			그거 지수 가방 아냐?
		"
돈,A coin or bill that is exchanged when trading goods or labor.,명사,17204,money,Money,https://en.wiktionary.org/wiki/돈,"
			민준이가 용돈을 다 써서 학교에서 집까지 걸어갔다.
		"
국가,"An entity consisting of land and the people living there, resulting in a group ruled by sovereignty.",명사,62382,state; nation; country,A state or a nation,https://en.wiktionary.org/wiki/국가,"
			애국가
		"
그런데,A word used to change the direction of a story while relating it to the preceding statement.,부사,70717,by the way,But or however,https://en.wiktionary.org/wiki/그런데,"
			네, 그런데 홍어가 가오리의 일종이라는 거 알고 계셨어요?
		"
날,"The period of twenty-four hours, from midnight to the midnight the next day.",명사,62254,day,Day,https://en.wiktionary.org/wiki/날,"
			민준이는 금방이라도 일어날 듯이 의자 가에 엉덩이만 살짝 걸치고 앉았다.
		"
여기,A pronoun used to indicate a place close to the speaker.,대명사,17863,here; this,A hobby,https://en.wiktionary.org/wiki/여기,"
			종류에 따라 다릅니다. 여기 가격표를 한번 보시겠어요?
		"
모두,Everything without anything missing or remaining.,명사,64739,all,Everybody,https://en.wiktionary.org/wiki/모두,"
			가가호호에 모두 전달했으니 많이 참석하겠지.
		"
여성,A grown-up woman capable of having a baby. ,명사,67727,woman,Female,https://en.wiktionary.org/wiki/여성,"
			광고에 나오는 여성들의 허리가 일반 여성보다 가느스름해 보인다.
		"
동무,A person who gets along well with another.,명사,47167,friend,A friend,https://en.wiktionary.org/wiki/동무,"
			길동무를 만나다.
		"
마음,A trait that a person was born with.,명사,20911,personality,Heart,https://en.wiktionary.org/wiki/마음,"
			동네 신발 가게에는 마음에 드는 신발이 없어 나는 결국 백화점에까지 갔다.
		"
후,A point of time following a certain passage of time.,명사,62885,later time,After,https://en.wiktionary.org/wiki/후,"
			동생은 졸업 후에 변호사가 되었다.
		"
가다,To move from one place to another place.,동사,27500,go; travel,To go,https://en.wiktionary.org/wiki/가다,"
			가가호호 찾아가다.
		"
놓다,"To let something that one is either holding in one's hand or pushing be released by opening or relaxing one's hand.",동사,89534,let go; let loose,"Put, place",https://en.wiktionary.org/wiki/놓다,"
			가교를 놓다.
		"
관계,"A state in which two or more people, things, phenomena, etc., become interrelated; or such a relation. ",명사,21898,relationship,Connection or relation,https://en.wiktionary.org/wiki/관계,"
			가까워진 관계.
		"
아버지,A word used to refer to or address the man who has procreated as the male parent.,명사,71343,father; male parent,Father,https://en.wiktionary.org/wiki/아버지,"
			할아버지는 늘 나에게 가계를 빛내는 훌륭한 사람이 되어야 한다고 강조하셨다.
		"
남자,A person who was born as a male.,명사,60865,man; male,Boy,https://en.wiktionary.org/wiki/남자,"
			선글라스를 낀 남자가 아까부터 아이를 쳐다본다.
		"
